latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.15432,136.22992,331.65,0.43,0.46,2026-08-25,453,N,VIIRS,n,2.0NRT,300.28,6.6,D
-1.1531,136.23772,340.86,0.43,0.46,2026-08-25,453,N,VIIRS,n,2.0NRT,301.03,7.57,D
-1.15249,136.24159,341.4,0.43,0.46,2026-08-25,453,N,VIIRS,n,2.0NRT,299.63,7.17,D
-1.13278,135.89882,330.33,0.41,0.45,2026-08-25,453,N,VIIRS,n,2.0NRT,298.89,2.64,D
-1.13224,136.04065,336.61,0.42,0.45,2026-08-25,453,N,VIIRS,n,2.0NRT,299.11,4.43,D
-1.12504,136.03183,331.57,0.42,0.45,2026-08-25,453,N,VIIRS,n,2.0NRT,299.79,5.28,D
-1.13539,136.04289,329.21,0.51,0.41,2026-08-27,417,N,VIIRS,n,2.0NRT,294.44,2.18,D
-1.12339,136.02911,329.52,0.51,0.41,2026-08-27,417,N,VIIRS,n,2.0NRT,293.4,2.56,D
-1.12155,136.03127,332.28,0.52,0.41,2026-08-27,417,N,VIIRS,n,2.0NRT,293.2,3.18,D
-1.16804,136.19864,326.27,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,293.21,2.44,D
-1.15579,136.17471,329.99,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,290.4,2.17,D
-1.15532,136.17778,326.44,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,291.83,2.17,D
-1.12696,136.04866,335.77,0.35,0.57,2026-08-28,357,N,VIIRS,n,2.0NRT,288.32,5.79,D
